date,open,high,low,close,volume
2024-05-20,62.93,63.01,62.46,62.57,11000890
2024-05-21,62.82,62.98,62.44,62.91,9796202
2024-05-22,62.71,63.02,62.66,63.0,7419406
2024-05-23,62.49,62.88,62.05,62.09,9834292
2024-05-24,62.22,62.42,61.97,62.0,8203136
2024-05-28,61.79,62.13,61.4,61.82,12347000
2024-05-29,61.47,61.88,61.07,61.7,11861820
2024-05-30,61.85,62.08,61.6,61.97,9436821
2024-05-31,61.99,63.025,61.69,62.93,19816630
2024-06-03,62.71,63.09,62.445,62.93,9369046
2024-06-04,63.2,63.97,62.94,63.94,11895620
2024-06-05,63.99,64.07,63.35,63.92,9632525
2024-06-06,63.92,64.36,63.84,64.15,8658456
2024-06-07,64.09,64.225,63.81,63.91,9523089
2024-06-10,63.94,63.99,63.365,63.59,15687130
2024-06-11,63.59,63.645,63.07,63.55,8395960
2024-06-12,63.69,63.69,62.685,62.88,9569550
2024-06-13,62.86,63.035,62.45,62.99,9668888
2024-06-14,62.38,62.69,62.09,62.55,8179239
2024-06-17,62.37,62.895,62.18,62.62,10532720
2024-06-18,62.53,62.82,62.44,62.63,10651660
2024-06-20,62.4,62.74,61.945,62.18,13306270
2024-06-21,62.18,63.1,62.18,62.77,28282190
2024-06-24,62.99,64.055,62.91,63.97,13212450
2024-06-25,63.935,64.07,63.51,63.84,10546790
2024-06-26,63.4,64.11,63.23,64.05,9402502
2024-06-27,64.05,64.27,63.62,63.91,8494123
2024-06-28,63.9,64.06,63.52,63.65,17358830
2024-07-01,64.03,64.3,63.12,63.28,10033360
2024-07-02,63.26,63.38,62.855,63.15,8878156
2024-07-03,63.19,63.665,62.93,63.33,9154198
2024-07-05,63.33,63.79,62.995,63.76,11735460
2024-07-08,63.59,63.59,62.84,62.96,11235140
2024-07-09,63.06,63.23,62.59,62.69,11660200
2024-07-10,62.72,62.86,62.285,62.83,11930410
2024-07-11,62.64,63.46,62.395,63.1,11434420
2024-07-12,63.46,64.115,63.385,63.7,9201516
2024-07-15,63.79,63.94,63.35,63.41,8207521
2024-07-16,63.43,64.31,63.39,64.27,9025066
2024-07-17,64.47,65.39,64.405,65.21,12508220
2024-07-18,64.8,65.805,64.72,65.19,11128200
2024-07-19,65.64,65.64,64.82,65.29,13775670
2024-07-22,65.25,65.29,64.315,64.77,11794210
2024-07-23,65.43,66.04,64.845,64.96,11810260
2024-07-24,65.09,65.965,64.835,65.81,13244570
2024-07-25,66.04,66.89,65.86,66.07,16328580
2024-07-26,66.07,67.11,66.01,67.05,13530070
2024-07-29,66.88,67.025,66.39,66.83,12140150
2024-07-30,66.48,67.83,66.36,67.68,13257960
2024-07-31,67.5,67.61,66.61,66.74,15576850
2024-08-01,67.0,68.105,66.7,67.96,16495910
2024-08-02,68.53,69.67,67.69,69.33,22514780
2024-08-05,68.99,69.55,67.73,68.1,25484270
2024-08-06,68.15,68.84,67.77,68.05,12969100
2024-08-07,68.05,69.18,67.83,68.46,13365270
2024-08-08,68.0,68.865,67.85,68.73,15240910
2024-08-09,68.7,68.785,68.245,68.68,12080420
2024-08-12,68.45,68.54,67.83,68.17,11012320
2024-08-13,68.08,68.61,68.01,68.46,9877569
2024-08-14,68.23,68.89,68.13,68.58,14328030
2024-08-15,68.62,68.92,68.5,68.65,11285120
2024-08-16,68.84,69.3,68.64,69.18,12651230
2024-08-19,69.35,69.42,68.845,68.98,9843861
2024-08-20,68.99,69.39,68.765,69.38,11957370
2024-08-21,69.48,70.13,69.335,69.57,8792397
2024-08-22,69.92,69.92,68.79,69.33,12509200
2024-08-23,69.4,69.85,68.935,69.79,11834750
2024-08-26,69.83,70.92,69.73,70.84,12912250
2024-08-27,71.32,71.53,71.05,71.5,16988410
2024-08-28,71.61,71.81,71.295,71.75,13272580
2024-08-29,71.9,72.22,71.23,72.05,17201680
2024-08-30,72.2,72.57,71.78,72.47,18624230
2024-09-03,72.44,73.285,72.245,73.01,14755750
2024-09-04,73.3,73.53,71.91,72.56,18140830
2024-09-05,72.62,72.68,70.98,71.17,23866130
2024-09-06,70.99,71.67,70.89,71.14,17485710
2024-09-09,71.23,72.305,70.98,71.85,12939260
2024-09-10,71.97,72.42,71.52,71.55,10277590
2024-09-11,71.36,71.37,70.5701,71.08,11418230
2024-09-12,71.0,71.38,70.655,71.23,12340780
2024-09-13,70.84,71.465,70.48,71.41,11073850
2024-09-16,71.77,72.24,71.62,72.1,10786530
2024-09-17,71.9,72.35,71.725,71.8,12974380
2024-09-18,71.89,72.38,71.27,71.75,10719710
